"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4237","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","2033","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","2061","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","4307","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","4249","Проверка успешного заказа через верхнюю кнопку Заказать","tests","2026-05-10","passed","2026-05-10","","test_order","",""
"","4035","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","3968","Проверка успешного заказа через нижнюю кнопку Заказать","tests","2026-05-10","passed","2026-05-10","","test_order","",""
"","2383","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","2089","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
"","2673","Проверка раскрытия ответов в блоке 'Вопросы о важном'","tests","2026-05-10","passed","2026-05-10","","test_questions","",""
